Virus,Host genome,Host taxonomy,Main method,Confidence score,Additional methods
FJ_XM_contig_11008764,RS_GCF_003999415.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E koreensis_E,blast,92.5,iPHoP-RF;50.90
FJ_XM_contig_11008764,RS_GCF_003852315.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp003014915,blast,92.1,None
FJ_XM_contig_11008764,RS_GCF_001439695.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E veronii,blast,91.9,None
FJ_XM_contig_11008764,RS_GCF_002022265.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_C,blast,91.9,None
FJ_XM_contig_11008764,RS_GCF_009296165.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E kitaguniensis,blast,91.9,None
FJ_XM_contig_11008764,RS_GCF_001984065.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp001984065,blast,91.8,None
FJ_XM_contig_11008764,RS_GCF_004348895.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E vancouverensis,blast,91.8,None
FJ_XM_contig_11008764,RS_GCF_002874965.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002874965,blast,91.7,None
FJ_XM_contig_11008764,RS_GCF_003850345.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E chlororaphis_F,blast,91.4,None
FJ_XM_contig_11008764,RS_GCF_004519405.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp004519405,blast,91.4,None
FJ_XM_contig_11008764,RS_GCF_900110885.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter;s__Azotobacter beijerinckii,blast,91.4,None
FJ_XM_contig_11035178,GB_GCA_003385605.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__UBA10364;s__UBA10364 sp003385605,blast,91.7,None
FJ_XM_contig_11259||full,RS_GCF_002563795.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp002563795,blast,93.9,iPHoP-RF;84.50
FJ_XM_contig_11259||full,RS_GCF_000354175.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio alginolyticus,blast,92,iPHoP-RF;74.10
FJ_XM_contig_11259||full,RS_GCF_001399455.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio bivalvicida,blast,90.3,iPHoP-RF;73.20
FJ_XM_contig_11259||full,RS_GCF_013113835.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp013113835,blast,90.2,iPHoP-RF;75.90
FJ_XM_contig_11259||full,RS_GCF_000176135.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliilyticus,blast,90,iPHoP-RF;75.20
FJ_XM_contig_11298095||full,RS_GCF_900099625.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis,blast,96.9,iPHoP-RF;78.50
FJ_XM_contig_11298095||full,HN_SY_bin_59,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__,blast,96.6,iPHoP-RF;84.50
FJ_XM_contig_11390125,GB_GCA_013138675.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__JAACFB01 sp013138675,iPHoP-RF,90.1,None
FJ_XM_contig_11518495||full,RS_GCF_000354175.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio alginolyticus,blast,94.2,iPHoP-RF;64.80
FJ_XM_contig_11561743,GB_GCA_003165155.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp003165155,iPHoP-RF,93.1,None
FJ_XM_contig_11561743,RS_GCF_000966355.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium lepromatosis,iPHoP-RF,92.8,None
FJ_XM_contig_11561743,RS_GCF_008370645.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium simiae_A,iPHoP-RF,92.8,None
FJ_XM_contig_11561743,RS_GCF_013466425.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium gordonae_C,iPHoP-RF,92.8,None
FJ_XM_contig_1157513||full,RS_GCF_012932215.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter ponti,blast,92.6,None
FJ_XM_contig_1157513||full,RS_GCF_009811755.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter sp009811755,blast,92.1,iPHoP-RF;52.80
FJ_XM_contig_1157513||full,RS_GCF_000014045.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter denitrificans,blast,92,None
FJ_XM_contig_1157513||full,FJ_XM_bin_121,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__,blast,91.7,None
FJ_XM_contig_1157513||full,RS_GCF_005887615.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_E;s__Sulfitobacter_E sabulilitoris,blast,91.7,None
FJ_XM_contig_1157513||full,RS_GCF_000154785.2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter litoralis,blast,90.8,None
FJ_XM_contig_1157513||full,FJ_XM_bin_105,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__,blast,90.1,None
FJ_XM_contig_11943674,RS_GCF_001471585.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae,iPHoP-RF,97.1,None
FJ_XM_contig_11943674,RS_GCF_009665255.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio metoecus_B,iPHoP-RF,97.1,None
FJ_XM_contig_11943674,RS_GCF_011306175.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp011306175,iPHoP-RF,95.7,None
FJ_XM_contig_11943674,GB_GCA_007124475.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp007124475,iPHoP-RF,94.7,None
FJ_XM_contig_11943674,RS_GCF_000176155.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio metschnikovii,iPHoP-RF,94.4,None
FJ_XM_contig_11943674,RS_GCF_001895205.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio injenensis,iPHoP-RF,94.1,None
FJ_XM_contig_11943674,RS_GCF_000696385.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio metoecus,iPHoP-RF,93.1,None
FJ_XM_contig_12361577||full,SD_DY_bin_124,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__,blast,91.6,iPHoP-RF;70.40
FJ_XM_contig_12604019,RS_GCF_000732925.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis japonica,iPHoP-RF,95.1,None
FJ_XM_contig_12604019,RS_GCF_000478275.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis orientalis,iPHoP-RF,94.7,None
FJ_XM_contig_12604019,RS_GCF_002234405.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis thailandensis,iPHoP-RF,94.4,None
FJ_XM_contig_12604019,RS_GCF_003947415.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis sp003947415,iPHoP-RF,94.4,None
FJ_XM_contig_12604019,RS_GCF_013870525.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis sp013870525,iPHoP-RF,94.4,None
FJ_XM_contig_12604019,RS_GCF_014205155.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis umgeniensis,iPHoP-RF,94.4,None
FJ_XM_contig_12604019,RS_GCF_001995215.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis azurea,iPHoP-RF,94.1,None
FJ_XM_contig_12604019,RS_GCF_001620365.2,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis keratiniphila,iPHoP-RF,93.7,None
FJ_XM_contig_12604019,RS_GCF_001613935.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis regifaucium,iPHoP-RF,93.4,None
FJ_XM_contig_12604019,RS_GCF_002849735.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis sp002849735,iPHoP-RF,92.8,None
FJ_XM_contig_12711257,GB_GCA_002171515.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA4427;g__TMED88;s__TMED88 sp002171515,blast,93.4,None
FJ_XM_contig_13125248,RS_GCF_001274785.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio hepatarius,iPHoP-RF,95.1,None
FJ_XM_contig_135012,GB_GCA_004282875.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__UBA1847 sp004282875,iPHoP-RF,90.8,None
FJ_XM_contig_13590497||full_1,FJ_XM_bin_8,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,blast,92.8,iPHoP-RF;65.80
FJ_XM_contig_13638892,RS_GCF_001471585.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae,iPHoP-RF,97.1,None
FJ_XM_contig_13638892,RS_GCF_002608565.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp002608565,iPHoP-RF,97.1,None
FJ_XM_contig_13638892,RS_GCF_010587385.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio astriarenae,iPHoP-RF,97.1,None
FJ_XM_contig_13638892,RS_GCF_000696385.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio metoecus,iPHoP-RF,96.7,None
FJ_XM_contig_13638892,RS_GCF_002877365.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp002877365,iPHoP-RF,96.7,None
FJ_XM_contig_13638892,RS_GCF_900089835.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio thalassae,iPHoP-RF,96.7,None
FJ_XM_contig_13638892,RS_GCF_000176175.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio furnissii,iPHoP-RF,96.4,None
FJ_XM_contig_13638892,RS_GCF_000354175.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio alginolyticus,iPHoP-RF,96.4,None
FJ_XM_contig_13638892,RS_GCF_003544875.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio alfacsensis,iPHoP-RF,96.4,None
FJ_XM_contig_13638892,RS_GCF_006538565.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio comitans,iPHoP-RF,96.4,None
FJ_XM_contig_13638892,RS_GCF_013041605.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio plantisponsor,iPHoP-RF,96.4,None
FJ_XM_contig_13638892,RS_GCF_002933855.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio penaeicida_A,iPHoP-RF,93.7,None
FJ_XM_contig_13638892,RS_GCF_000764325.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio navarrensis,iPHoP-RF,92.8,None
FJ_XM_contig_13638892,RS_GCF_000171815.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp000171815,iPHoP-RF,91.8,None
FJ_XM_contig_13638892,RS_GCF_000222685.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio nigripulchritudo,iPHoP-RF,91.4,None
FJ_XM_contig_13638892,RS_GCF_000772105.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio tubiashii,iPHoP-RF,91.1,None
FJ_XM_contig_13638892,RS_GCF_900460245.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio fluvialis,iPHoP-RF,90.1,None
FJ_XM_contig_1364577||full,RS_GCF_000020585.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea,iPHoP-RF,96.7,blast;87.20
FJ_XM_contig_1364577||full,RS_GCF_000172635.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,blast,96.3,iPHoP-RF;91.40
FJ_XM_contig_1364577||full,RS_GCF_000597705.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas sp000597705,blast,93.8,iPHoP-RF;87.90
FJ_XM_contig_1364577||full,RS_GCF_009811415.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas sp009811415,blast,93.1,iPHoP-RF;90.80
FJ_XM_contig_1364577||full,RS_GCF_003443615.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas sp003443615,blast,92.1,iPHoP-RF;86.00
FJ_XM_contig_1364577||full,RS_GCF_001953635.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas abrolhosensis,blast,92,iPHoP-RF;86.00
FJ_XM_contig_1364577||full,RS_GCF_005117025.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas portus,blast,91.9,iPHoP-RF;87.00
FJ_XM_contig_1364577||full,RS_GCF_000808575.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas marina,blast,91.7,iPHoP-RF;86.70
FJ_XM_contig_1364577||full,RS_GCF_903772925.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii_A,blast,91.3,iPHoP-RF;87.00
FJ_XM_contig_1364577||full,RS_GCF_001885075.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas sp001885075,blast,91,iPHoP-RF;88.20
FJ_XM_contig_1364577||full,RS_GCF_002993325.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas gracilis,blast,90.7,iPHoP-RF;90.50
FJ_XM_contig_13706911||full,ZJ_WZ_bin_92,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,92.7,None
FJ_XM_contig_13706911||full,GD_ST_bin_3,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,92.5,None
FJ_XM_contig_13739670||full,GB_GCA_012519565.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix;s__Herbinix sp012519565,iPHoP-RF,96.1,None
FJ_XM_contig_14071076||full,GD_ST_bin_100,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__,blast,91.1,iPHoP-RF;68.90
FJ_XM_contig_14290917,RS_GCF_009026825.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp009026825,iPHoP-RF,91.1,None
FJ_XM_contig_14470203,RS_GCF_001875725.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001875725,iPHoP-RF,92.4,None
FJ_XM_contig_14470203,RS_GCF_001875665.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001875665,iPHoP-RF,91.1,None
FJ_XM_contig_14522063||full,JS_YC_bin_156,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,blast,94.1,iPHoP-RF;58.70
FJ_XM_contig_15684896||full_1,RS_GCF_000011965.2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_B;s__Ruegeria_B pomeroyi,blast,92.9,None
FJ_XM_contig_15684896||full_1,RS_GCF_001507595.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__Ruegeria marisrubri,blast,91.7,iPHoP-RF;64.30
FJ_XM_contig_15684896||full_1,GB_GCA_002783145.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nioella;s__Nioella sp002783145,blast,90.9,None
FJ_XM_contig_15906302||full,GB_GCA_902541695.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CACIIZ01;s__CACIIZ01 sp902541695,iPHoP-RF,92.1,None
FJ_XM_contig_15906302||full,GB_GCA_902619615.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__AAA536-G10;g__AAA536-G10;s__AAA536-G10 sp902619615,iPHoP-RF,90.8,None
FJ_XM_contig_15995490||0_partial,LN_DD_bin_112,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__;s__,blast,93.3,iPHoP-RF;73.90
FJ_XM_contig_15995490||0_partial,GB_GCA_013138675.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__JAACFB01 sp013138675,iPHoP-RF,93.1,None
FJ_XM_contig_15995490||0_partial,JS_YC_bin_125,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__,iPHoP-RF,90.5,None
FJ_XM_contig_16198555||full,GB_GCA_003246265.1,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__Pontiella sp003246265,blast,93.8,iPHoP-RF;54.10
FJ_XM_contig_16198555||full,RS_GCF_900890705.1,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__Pontiella sulfatireligans,blast,92.9,iPHoP-RF;50.40
FJ_XM_contig_16198555||full,RS_GCF_900890425.1,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__Pontiella desulfatans,blast,92.6,iPHoP-RF;50.90
