contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
ZJ_WZ_contig_67648	68634	82	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_16162928	68534	85	36	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_14973171	68091	87	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_8289063	67172	58	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_14517178||full	66778	87	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14400766	66526	99	61	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_11168511	66447	91	22	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_17168529	66396	81	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_5376150	66151	42	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_18315131||0_partial_1	65775	76	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_6012586||full	65604	60	14	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_25744583||full_1	64961	62	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_10511516_fragment_2	64699	63	9	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_4158666	64537	74	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_23016708||full_1	63781	76	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_16315354	63546	78	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_14463145	63302	90	34	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_544845	63190	107	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_2584171	62958	99	8	5	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_20931214	62706	72	15	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_8676445	62509	80	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_33768249	62457	72	13	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_11318374	62130	98	12	5	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_16654606	62115	72	14	2	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_7202356	62034	71	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_31505921_fragment_2	61905	106	24	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_4040451	61763	86	19	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_17581476	61731	121	7	2	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_36264901||full	61597	80	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_26482069	61367	71	22	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_13361709	61353	67	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_12614770	61250	76	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_26402395	60738	66	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_3590639||full	60436	79	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_251556	59651	99	22	7	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_2895676	59440	81	21	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_3552815	59193	78	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_3565930	58981	77	17	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_23203093	58923	100	27	4	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_21941984	58761	51	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_14537592	58675	104	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_25024804	58488	57	12	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_10753045||full	57776	67	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_10479113||full	57684	79	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_16858917_1	57629	32	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_7862354	57450	73	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_3177629	57357	32	6	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_23974522||full	57199	69	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_24279002	57174	71	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_17880867	57162	67	20	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_6528052||full	57113	75	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_11817497	56925	46	17	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_1920539	56752	89	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_2750799	56590	61	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_13194689||full	56343	93	7	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_21086757||full_1	56272	92	8	5	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_11711886	56041	69	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_23646798	56041	88	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_20859688||full	55870	70	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_10325551	55483	75	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_4292323	55444	57	21	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_25236539||full	55371	75	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_6357626	55346	54	30	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_5536068	55055	89	9	3	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_32800505	54882	53	25	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_34176876||full	54604	55	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_8201747	54505	89	26	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_20732377	54415	122	3	7	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_7497574||full	54415	66	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_434792	54219	76	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_15983728	54191	61	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18206194	54094	110	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_9519175||full	53953	62	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_9206350	53650	72	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_5896328	53571	73	7	3	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_24766356	53340	101	15	3	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_9140860	53271	70	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_17803394	53221	57	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_15038263||full	53094	68	23	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_18923542	53086	53	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_28130482	52755	97	6	7	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_1765733	52496	98	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_25697671||full_1	52404	79	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_4416600||full	52290	64	18	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18933343	52273	43	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18691585	52201	52	32	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_1715423	51859	65	7	4	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_11422486||full	51840	113	4	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_10552334	51726	53	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_28874426	51647	60	11	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_13834208||full	51428	69	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_1499308	51344	40	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_3114912||full	51330	59	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_15624523	51149	42	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_8755902	51100	68	7	3	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_12839831	50843	66	23	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_19537488||full	50667	74	27	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_3649560	50592	69	12	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_22434091	50500	73	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_6472106	50477	101	7	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_20189237||full	50269	70	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14899226	50250	67	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_34330941	50129	79	23	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_13627500||full_1	50107	61	28	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_12671060||full	50045	66	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_16847803	49927	63	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_7896600||full	49831	67	11	3	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_24636524	49826	30	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_9626360	49752	61	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_3793057	49751	64	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_19446122||full	49748	66	6	3	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_10845362||full	49721	48	3	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_26669410	49685	64	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_6483864	49658	67	13	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_28906154||full	49647	62	12	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_19483625||full	49578	68	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_27245973	49311	70	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_26971807	49281	71	27	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_3914523	49141	72	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_17843807	49139	56	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_22258428	49094	74	13	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_6382586	48875	56	7	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_8624418	48815	63	4	5	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_24520454	48768	28	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_15436671||full	48707	62	3	7	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_27245599	48638	65	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_22046536	48636	52	18	1	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_13122286	48627	62	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_22803629	48542	59	5	3	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_21855656||full	48505	61	46	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14290867||full	48396	75	3	3	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_11247691	48369	51	7	3	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_16729626	48287	62	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_18170923	48283	56	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_16511301||full	48260	45	1	12	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_21356588	48142	45	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_7625449	48081	58	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_24661388	47955	51	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_26447523||full	47950	67	25	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_20993849	47932	42	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_26433162	47820	49	27	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_21113366	47722	68	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_16047051||full	47579	66	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_6034540||full	47512	67	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_4590420||full_1	47500	62	26	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_19650475||0_partial_1	47490	72	26	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_17247846||full	47377	71	14	6	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_7915881	47372	21	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_14776671	47304	41	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_29533501	47244	47	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_3760751	47208	73	13	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_16967216	47169	63	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18146354	47121	37	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_28905927||full	47005	59	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_15604402||full	46933	77	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_8135996	46920	56	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_12008308	46900	86	15	6	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_34176862||full	46892	68	20	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_15260596	46809	53	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_25683321||full	46777	61	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_14114368	46620	43	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_2603021	46601	62	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_19910492	46557	42	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_11854965||full	46555	49	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_34732561	46491	68	10	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_4583462	46452	52	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_26323268	46362	30	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_2645155||full	46338	72	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_22749074	46222	46	3	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_9944345||full	46213	41	1	11	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_812578	46204	61	12	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_24021099	46007	57	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_2200454	45967	66	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_19073660	45955	70	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_24391583	45946	56	7	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_166748	45794	84	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_31492000||full	45726	54	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_33040553	45684	69	7	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_9142057	45648	47	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_6410410	45641	53	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_15566350	45368	58	7	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_20188765	45341	45	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_2760454	45338	61	20	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_7117338	45331	57	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_13039313	45321	42	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_20813386||full	45308	60	17	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_14315149	45304	72	36	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18072189	45295	75	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_22837109	45155	59	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_9210841	45141	73	26	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_5573624||0_partial_1	45140	59	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_17649722	45117	52	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_2572569	45081	60	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_19554939	45061	48	2	3	No	NA	NA	NA	NA	NA	NA	NA	NA
