contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
SD_QD_contig_11299071	68748	NA	110104	62.43914844	medium	7.558702784	1	835250	34.53	19.92	61.54983344	99.16870122	21	1
ZJ_WZ_contig_67648	68634	NA	61753.15282	100	low	17.73665862	8	3300022664|Ga0247854_1000711	35.9	11.44	80.49777791	100	10	1
JS_LYG_contig_16162928	68534	NA	111785.5649	61.30845256	medium	6.326123077	123	DTR_258692	45.42	35.42	56.67638816	74.29350615	33	1
SD_QD_contig_14973171	68091	NA	63579.90181	100	medium	6.553138374	40	DTR_324504	40.19	24.56	83.90366546	99.64716962	17	1
ZJ_NB_contig_8289063	67172	NA	187191.6353	35.88408206	low	33.43057292	10	GCA_007998955.1	28.9	1.27	25.20243655	53.45177665	2	1
LN_DD_contig_14517178||full	66778	NA	55186.1164	100	low	27.97266424	3	DTR_024239	68.22	11.95	91.19845269	100	17	1
ZJ_WZ_contig_14400766	66526	NA	191288.9422	34.77775518	high	4.000808605	15	GCA_001399285.1	56.41	69.34	30.55904695	39.81512356	53	1
JS_LYG_contig_11168511	66447	NA	54049.82981	100	medium	7.288705512	5	GCA_000857585.1	44.25	26.82	67.07627017	83.85245157	20	1
ZJ_WZ_contig_17168529	66396	NA	62910.79806	100	medium	7.288705512	2	878699	45.33	22.58	75.70285323	85.50181857	5	1
ZJ_WZ_contig_5376150	66151	NA	106487.8569	62.12069803	medium	8.846513804	16	DTR_889083	52.2	60.58	57.95658135	100	5	1
GX_BH_contig_18315131||0_partial_1	65775	NA	64006.16977	100	medium	5.368527541	18	DTR_265813	51.17	18.75	84.55203023	100	27	1
JS_LYG_contig_6012586||full	65604	NA	63182.55828	100	medium	7.350806228	3	DTR_354614	36.55	27.16	88.52692974	100	13	1
ZJ_NB_contig_25744583||full_1	64961	NA	313729.438	20.70605819	medium	7.350806228	6	3300017700|Ga0181339_1000001	34.46	24.04	27.25065982	68.46918985	5	1
JS_YC_contig_10511516_fragment_2	64699	NA	155920.229	41.49493649	medium	6.129669847	12	DTR_264141	34.05	30.06	30.22091887	74.94121633	8	1
JS_LYG_contig_4158666	64537	NA	63754	100	high	1.249616839	1	DTR_104700	92.76	96.98	76.95941836	97.42040832	15	1
GD_ST_contig_23016708||full_1	63781	NA	59916.39818	100	high	4.236883803	61	DTR_892541	39.59	47.16	83.84374749	99.99098204	17	1
GD_ST_contig_16315354	63546	NA	60536.73669	100	medium	8.866298378	14	DTR_104700	51.56	34.61	85.4302342	98.39074967	11	1.01
LN_DD_contig_14463145	63302	NA	456619.3467	13.86318833	low	10.27708039	65	3300049596|Ga0502572_000004	41.01	19.11	11.08175459	46.23800879	31	1
JS_YC_contig_544845	63190	NA	210220	30.05898582	low	12.25611471	1	DTR_043244	47.05	19.81	33.32238494	100	2	1
JS_YC_contig_2584171	62958	NA	260553.0111	24.16322104	low	21.81767303	10	DTR_254589	56.59	11.08	51.47739126	92.46766799	8	1
HN_SY_contig_20931214	62706	NA	70171.56958	89.36097678	medium	7.231208373	2	DTR_316103	47.78	46.2	69.08142168	92.0674947	15	1
JS_LYG_contig_8676445	62509	NA	66638	93.80383565	medium	5.566490307	1	DTR_201431	43.77	51.19	84.33140937	100	6	1
FJ_XM_contig_33768249	62457	NA	60680.74175	100	high	2.003652663	88	DTR_262377	79.56	54.23	64.89630892	91.1363312	13	1
ZJ_NB_contig_11318374	62130	NA	67883.53621	91.52440116	low	12.25611471	5	DTR_274834	44.07	19.72	83.21238324	100	12	1
FJ_XM_contig_16654606	62115	NA	124569.7038	49.86364912	medium	9.409526404	11	3300009701|Ga0116228_10000027	36.81	15.55	53.30646812	90.09554974	14	1
HN_SY_contig_7202356	62034	NA	107590	57.65777489	medium	6.326123077	1	DTR_223886	43.12	33.7	73.43539993	93.51054617	17	1
SD_QD_contig_31505921_fragment_2	61905	NA	49424.12475	100	low	34.57015578	27	DTR_110888	46.36	5.46	71.6204756	99.98979891	23	1
GD_ST_contig_4040451	61763	NA	64419.69586	95.87595715	medium	8.402024752	43	DTR_696700	47.76	53.44	61.59072006	94.35846698	19	1
SD_DY_contig_17581476	61731	NA	490023.6568	12.59755506	low	34.57015578	5	794706	44.15	7.26	43.01459002	90.12327524	7	1
FJ_XM_contig_36264901||full	61597	NA	58994	100	low	12.25611471	1	3300033151|Ga0366837_1000042	45.71	20.31	78.29222737	99.60184076	18	1
FJ_XM_contig_26482069	61367	NA	62431.86272	98.29436016	medium	5.98247404	33	DTR_893684	48.83	27.84	81.89149156	99.46621796	22	1
GD_ST_contig_13361709	61353	NA	52758.50386	100	low	17.73665862	6	DTR_653401	33.83	10.16	66.42843379	100	5	1
ZJ_NB_contig_12614770	61250	NA	80944.17191	75.66943803	medium	6.99617416	8	3300009108|Ga0117920_1000208	41.9	32.63	79.15884414	100	14	1
ZJ_WZ_contig_26402395	60738	NA	47651.13335	100	low	26.08319709	295	DTR_891454	30.23	7.65	81.12216842	100	7	1
ZJ_NB_contig_3590639||full	60436	NA	62863.81089	96.13798328	medium	5.652150795	97	DTR_281964	56.9	60.42	81.05802238	97.37519411	21	1.01
SD_DY_contig_251556	59651	NA	38128.55024	100	high	2.889746693	5	936882	55.9	26.46	82.52942485	99.15310114	22	1
JS_LYG_contig_2895676	59440	NA	70276	84.58079572	high	3.626351004	1	3300007900|Ga0111031_1102211	58.91	46.5	73.13450987	100	21	1
HN_SY_contig_3552815	59193	NA	65678.58653	90.12526476	medium	6.326123077	2	627998	46.54	36.94	43.71484066	64.62143488	10	1.02
ZJ_WZ_contig_3565930	58981	NA	61124.48642	96.49324429	high	3.093752532	237	DTR_891784	53.26	30.14	80.49463547	99.60913104	17	1
ZJ_NB_contig_23203093	58923	NA	177046.9287	33.28100658	medium	5.98247404	12	DTR_893586	49.5	28.6	29.03471027	51.14995226	26	1
GD_ZH_contig_21941984	58761	NA	122489	47.972471	medium	9.409526404	1	3300022241|Ga0236242_1000006	35.02	17.02	34.59561193	77.33774999	4	1
FJ_XM_contig_14537592	58675	NA	91890.10262	63.8534492	medium	5.566490307	21	DTR_173662	43.83	48	43.76278675	84.48575344	14	1
JS_YC_contig_25024804	58488	NA	93665.93222	62.44319425	low	26.5187365	6	DTR_053188	47.71	11.01	66.28767192	100	10	1
JS_LYG_contig_10753045||full	57776	NA	55053.7816	100	high	3.500714038	2	DTR_024239	60.2	64.06	73.71448144	85.17385054	15	1
ZJ_NB_contig_10479113||full	57684	NA	50060.83584	100	low	34.57015578	3	DTR_200221	44.66	7.37	34.46059858	96.52738048	4	1
JS_YC_contig_16858917_1	57629	NA	175311	32.87243812	high	3.520446625	1	DTR_863595	35.13	54.28	46.59802392	99.83081397	4	1
ZJ_WZ_contig_7862354	57450	NA	57558.53261	99.81143957	medium	8.402024752	12	DTR_312833	51.34	53.4	68.07623509	100	21	1
JS_LYG_contig_3177629	57357	NA	119337.5904	48.06281055	medium	5.896000792	10	DTR_314445	42.83	68.2	32.85143293	90.60865009	6	1
HN_SY_contig_23974522||full	57199	NA	77866.23385	73.45802818	medium	7.350806228	3	822265	34.25	25.2	47.3876386	100	7	1
JS_LYG_contig_24279002	57174	NA	59912.65554	95.42891979	medium	7.214602454	17	397850	30.76	28.48	77.39142572	100	18	1
FJ_XM_contig_17880867	57162	NA	74243.27526	76.99283175	medium	7.783521358	171	DTR_629053	43.94	29.57	68.56007993	88.39098853	19	1
GX_BH_contig_6528052||full	57113	NA	55822	100	medium	8.402024752	1	644583	50.89	54.81	70.20513576	91.9610646	19	1
ZJ_WZ_contig_11817497	56925	NA	348540.6289	16.33238575	medium	8.714984438	15	GCA_902984985.1	49.52	69.83	15.39770464	26.64381117	17	1
JS_YC_contig_1920539	56752	NA	84699.65905	67.00381163	medium	7.783521358	5	DTR_893298	47.29	29.24	39.25833983	92.12683994	10	1
FJ_XM_contig_2750799	56590	NA	55225.46172	100	medium	8.714984438	2	DTR_024239	47.52	68.06	75.14181778	86.65409945	16	1
SD_DY_contig_13194689||full	56343	NA	67204.63431	83.83796829	low	34.01282761	3	DTR_262418	47.84	4.52	61.81290802	100	7	1
ZJ_NB_contig_21086757||full_1	56272	NA	395522.0634	14.22727206	low	21.87995547	21	3300017700|Ga0181339_1000001	38.55	8.94	24.89808072	86.25890835	8	1
JS_LYG_contig_11711886	56041	NA	93829.02404	59.72672163	medium	7.783521358	14	DTR_173662	44.01	30.1	54.23553668	92.42689083	15	1
SD_QD_contig_23646798	56041	NA	88859	63.06733139	medium	7.775689877	1	DTR_267566	47.88	15.57	49.39398566	100	7	1
JS_LYG_contig_20859688||full	55870	NA	55281.61887	100	medium	8.402024752	2	DTR_024239	49.41	56.6	90.55652036	100	15	1
ZJ_WZ_contig_10325551	55483	NA	52124	100	high	2.710501551	1	DTR_893742	64.26	47.68	82.46170328	100	20	1
LN_DD_contig_4292323	55444	NA	232256.8404	23.87184804	medium	6.99617416	14	3300027828|Ga0209692_10000045	40.63	34.32	15.66078723	42.61855984	19	1.02
SD_DY_contig_25236539||full	55371	NA	60909.60079	90.90685094	low	13.7450815	24	DTR_098474	46.36	14.62	81.44961739	99.51857154	20	1
GD_ST_contig_6357626	55346	NA	74210.569	74.57967341	high	1.364788458	11	GCA_000923015.1	72.79	89.22	66.55117797	86.8831577	30	1
ZJ_WZ_contig_5536068	55055	NA	76361.00953	72.09831345	medium	7.288705512	6	DTR_200450	46.5	24.34	64.98472188	99.14050527	9	1
FJ_XM_contig_32800505	54882	NA	112410.88	48.82267625	high	4.236883803	95	GCA_902984435.1	41.97	45.31	43.36870431	62.34723602	24	1.01
GX_BH_contig_34176876||full	54604	NA	53803.9462	100	medium	5.896000792	10	DTR_295032	43.49	70.67	83.37177791	100	7	1
ZJ_WZ_contig_8201747	54505	NA	46172.48487	100	low	17.73665862	17	DTR_010932	34.91	11.7	61.28677271	94.08022912	25	1.01
ZJ_NB_contig_20732377	54415	NA	339432.8775	16.03115184	low	26.5187365	19	3300017700|Ga0181339_1000001	48.13	8.42	22.59844974	83.32680711	3	1
ZJ_NB_contig_7497574||full	54415	NA	55519.62095	98.01039536	high	1.735826655	2	DTR_133038	66.43	88.44	68.19495467	84.81565033	16	1
HN_SY_contig_434792	54219	NA	132454.827	40.93395554	low	26.08319709	10	GCA_000902515.1	30.39	9.57	41.82034494	100	4	1.01
ZJ_WZ_contig_15983728	54191	NA	49576.38084	100	medium	6.553138374	10	GCA_012938105.1	41.17	23.15	75.77133015	100	15	1
ZJ_WZ_contig_18206194	54094	NA	62391.69379	86.70064348	low	34.92573207	46	727799	36.79	3.56	44.12191088	100	6	1
ZJ_WZ_contig_9519175||full	53953	NA	298237.9799	18.09058659	low	13.01532465	4	3300027828|Ga0209692_10000045	40.46	16.61	8.812277612	38.96579503	13	1
ZJ_NB_contig_9206350	53650	NA	327024.7429	16.40548649	high	4.291439103	18	3300017722|Ga0181347_1000002	53.07	17.41	25.99790943	86.39273497	8	1
ZJ_WZ_contig_5896328	53571	NA	144830.132	36.9888498	medium	6.326123077	3	DTR_188052	45.75	36.8	23.23562846	73.47281867	7	1
JS_YC_contig_24766356	53340	NA	141816.2517	37.61205036	low	13.01532465	50	GCA_902985435.1	40.36	14.17	24.10647649	52.55098512	15	1
GX_BH_contig_9140860	53271	NA	51773.61995	100	medium	9.873911259	9	DTR_889692	32.09	19.18	57.78303932	87.11040919	4	1
GX_BH_contig_17803394	53221	NA	280682.7744	18.96126334	medium	8.714984438	2	DTR_202747	51.68	70.01	23.59785212	47.98537855	7	1
GD_ST_contig_15038263||full	53094	NA	146866.0657	36.15130544	medium	7.558702784	29	DTR_201405	32.96	18.45	62.03727047	99.05656915	22	1
SD_QD_contig_18923542	53086	NA	189352.5375	28.03553663	medium	6.943283582	9	DTR_223329	39.3	28.55	37.51479382	86.02431807	6	1
ZJ_NB_contig_28130482	52755	NA	281711.283	18.72661948	low	13.7450815	2	DTR_587491	42.79	12.97	28.91066052	44.45557045	6	1
ZJ_WZ_contig_1765733	52496	NA	165699.3986	31.68146683	low	35.94398439	120	281979	40.68	3.26	26.69110385	83.63850538	5	1
SD_DY_contig_25697671||full_1	52404	NA	29008.82175	100	low	12.25611471	4	DTR_074463	47.49	22.39	37.58263976	100	4	1
ZJ_WZ_contig_4416600||full	52290	NA	61500.69559	85.0234286	low	12.25611471	58	3300040801|Ga0450804_3719142	43.15	21.07	68.99570038	100	18	1
ZJ_WZ_contig_18933343	52273	NA	326155.598	16.02701297	medium	8.866298378	9	DTR_285751	50.53	35.31	16.60074803	35.21232406	19	1
ZJ_WZ_contig_18691585	52201	NA	179585.9826	29.06741342	high	3.626351004	135	DTR_893586	58.38	43.22	24.43516997	39.41677659	31	1
JS_LYG_contig_1715423	51859	NA	145640.4302	35.60755755	low	17.73665862	20	708366	35.96	11.63	37.53111288	83.9589585	6	1
SD_DY_contig_11422486||full	51840	NA	461058	11.2437047	medium	5.368527541	1	794706	49.84	22.43	33.95338454	100	4	1
GD_ZH_contig_10552334	51726	NA	79374.97164	65.16663746	medium	6.430216921	4	DTR_578278	46.06	61.98	28.39	57.03	1	1
SD_QD_contig_28874426	51647	NA	54753.43234	94.32650666	low	22.94139565	308	DTR_046681	43.92	8.48	61.89686766	100	11	1
JS_LYG_contig_13834208||full	51428	NA	223900.0123	22.96918141	low	12.18694396	12	DTR_201405	32.36	22.7	63.62108788	98.89895192	21	1
JS_YC_contig_1499308	51344	NA	190347.0068	26.97389408	high	3.742175339	13	DTR_202281	35.91	47.8	32.54	100	1	1
ZJ_NB_contig_3114912||full	51330	NA	56472.31035	90.89410311	medium	9.409526404	17	DTR_162513	33.52	12.61	73.47547194	100	5	1.01
GX_BH_contig_15624523	51149	NA	219872.4634	23.26303131	low	33.43057292	32	3300046517|Ga0495630_0000105	31.3	5.24	76.52	100	1	1
ZJ_NB_contig_8755902	51100	NA	76069.20696	67.17567074	low	33.43057292	262	DTR_888695	32.5	3.27	26.09786124	48.25683283	5	1
JS_YC_contig_12839831	50843	NA	62544.34817	81.2911182	medium	6.99617416	34	DTR_269736	41.99	36.99	62.9599569	98.25277314	23	1
JS_YC_contig_19537488||full	50667	NA	74304.95195	68.18791839	medium	5.123606497	174	DTR_230486	45.11	42.41	61.97472361	81.98717858	25	1
ZJ_WZ_contig_3649560	50592	NA	81334.39909	62.20246362	low	34.57015578	21	GCA_003505775.1	42.97	6.85	59.6043617	100	12	1
ZJ_WZ_contig_22434091	50500	NA	49461	100	medium	6.553138374	1	DTR_275368	41.82	25	51.69026504	100	6	1
LN_DD_contig_6472106	50477	NA	384859.3678	13.11569997	low	13.7450815	8	GCA_013364725.1	43.86	13.14	21.51539469	72.23818877	7	1
ZJ_NB_contig_20189237||full	50269	NA	154137.3491	32.6131209	low	17.73665862	29	DTR_076591	36.62	8.07	63.4063159	98.23521796	12	1
ZJ_WZ_contig_14899226	50250	NA	76899.14226	65.34533224	medium	6.862159255	11	DTR_893513	37.16	35.31	62.20281664	97.29191294	18	1
FJ_XM_contig_34330941	50129	NA	50861	98.56078331	medium	7.288705512	1	GCA_000907095.1	42.64	25.41	65.66726774	99.46990993	23	1
ZJ_NB_contig_13627500||full_1	50107	NA	60830.32641	82.37174278	medium	6.553138374	8	3300040801|Ga0450804_3719142	41.25	27.43	68.85119901	100	27	1
