seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
FJ_XM_contig_12297153||full	1	0.187	1	dsDNAphage	22607	7	53.8	0
FJ_XM_contig_12340367	0.993	0.313	0.993	dsDNAphage	11420	4	75	0
FJ_XM_contig_12347533	1	0.987	1	dsDNAphage	5481	3	100	0
FJ_XM_contig_12361577||full	0.887	0.013	0.887	dsDNAphage	6277	1	60	40
FJ_XM_contig_12369768||full	0.993	0.487	0.993	dsDNAphage	6077	1	28.6	0
FJ_XM_contig_12369773	0.66	0.467	0.66	dsDNAphage	6803	0	33.3	0
FJ_XM_contig_12391020||full	0.973	0.013	0.973	dsDNAphage	6146	1	20	0
FJ_XM_contig_12399404	0.887	0.933	0.933	ssDNA	5195	0	54.5	0
FJ_XM_contig_12403042	0.907	0.133	0.907	dsDNAphage	5984	0	8.3	0
FJ_XM_contig_12415596||full	0.707	0.227	0.707	dsDNAphage	7181	0	60	0
FJ_XM_contig_12415756	1	0.667	1	dsDNAphage	15886	1	95.8	0
FJ_XM_contig_12416437	nan	nan	nan	dsDNAphage	7616	1	50	0
FJ_XM_contig_12429679||full	0.753	0.567	0.753	dsDNAphage	17709	0	23.3	0
FJ_XM_contig_12447204	1	0.893	1	dsDNAphage	9664	3	100	0
FJ_XM_contig_12586345	1	0.933	1	dsDNAphage	5668	3	100	0
FJ_XM_contig_1260374	0.747	0.02	0.747	dsDNAphage	19402	0	29	3.2
FJ_XM_contig_12604019	0.873	0.727	0.873	dsDNAphage	5479	0	25	0
FJ_XM_contig_12695732	0.88	0.32	0.88	dsDNAphage	15399	0	42.1	0
FJ_XM_contig_1270918||full	0.78	0.06	0.78	dsDNAphage	8711	1	33.3	0
FJ_XM_contig_12709401	0.94	0.467	0.94	dsDNAphage	5079	0	33.3	0
FJ_XM_contig_12711257	0.993	0.413	0.993	dsDNAphage	31836	8	80	0
FJ_XM_contig_12723875	1	0.86	1	dsDNAphage	5588	1	63.6	0
FJ_XM_contig_12727206	1	0.093	1	dsDNAphage	18671	3	72.4	0
FJ_XM_contig_12743406||full	0.993	0.473	0.993	dsDNAphage	7450	1	57.1	0
FJ_XM_contig_12827217	0.973	0.033	0.973	dsDNAphage	15739	1	13.9	5.6
FJ_XM_contig_12827798	0.833	0.1	0.833	dsDNAphage	5595	0	37.5	0
FJ_XM_contig_12858371	1	0.84	1	dsDNAphage	6687	3	100	0
FJ_XM_contig_12867935	0.96	0.58	0.96	dsDNAphage	12115	0	92.3	0
FJ_XM_contig_12904746	0.993	0.6	0.993	dsDNAphage	8544	0	12	0
FJ_XM_contig_12908847||full	0.827	0.14	0.827	dsDNAphage	6991	1	20	0
FJ_XM_contig_12922820	0.98	0.953	0.98	dsDNAphage	6226	0	33.3	0
FJ_XM_contig_12989287	0.793	0.487	0.793	dsDNAphage	6776	0	77.8	0
FJ_XM_contig_13016837	0.827	0.96	0.96	ssDNA	10134	0	69.2	0
FJ_XM_contig_13079266	0.973	0.313	0.973	dsDNAphage	6225	0	35.7	0
FJ_XM_contig_13094096	0.947	0.12	0.947	dsDNAphage	5239	2	50	0
FJ_XM_contig_13122286	0.993	0.18	0.993	dsDNAphage	48500	6	50	0
FJ_XM_contig_13124243	0.993	0.987	0.993	dsDNAphage	5033	0	75	0
FJ_XM_contig_13125248	0.987	0.8	0.987	dsDNAphage	5007	0	66.7	0
FJ_XM_contig_13147373||full	1	0.273	1	dsDNAphage	6274	1	42.9	0
FJ_XM_contig_13148138	0.633	0.007	0.633	dsDNAphage	9259	0	13.3	6.7
FJ_XM_contig_13171021	0.98	0.5	0.98	dsDNAphage	5761	0	17.6	0
FJ_XM_contig_13183806	0.707	0.053	0.707	dsDNAphage	5055	0	16.7	0
FJ_XM_contig_13195604	0.967	0.6	0.967	dsDNAphage	5388	0	18.8	0
FJ_XM_contig_13265287||full_1	0.987	0.993	0.993	ssDNA	1770	0	75	0
FJ_XM_contig_13288425	nan	nan	nan	dsDNAphage	6384	1	100	0
FJ_XM_contig_13370529	0.993	0.293	0.993	dsDNAphage	10185	4	47.1	0
FJ_XM_contig_13456308	0.987	0.86	0.987	dsDNAphage	5211	1	57.1	0
FJ_XM_contig_135012	0.993	0.473	0.993	dsDNAphage	9053	8	78.6	0
FJ_XM_contig_1351354	0.88	0.087	0.88	dsDNAphage	3746	0	25	0
FJ_XM_contig_13518076	0.747	0.253	0.747	dsDNAphage	5899	0	20	0
FJ_XM_contig_13542068	0.527	0.207	0.527	dsDNAphage	5695	0	25	0
FJ_XM_contig_13590497||full_1	nan	nan	nan	dsDNAphage	1871	1	100	0
FJ_XM_contig_13638299	0.98	0.94	0.98	dsDNAphage	5048	0	16.7	0
FJ_XM_contig_13638892	0.993	0.047	0.993	dsDNAphage	28163	2	35.7	3.6
FJ_XM_contig_13641675	0.693	0.22	0.693	dsDNAphage	5718	0	16.7	0
FJ_XM_contig_1364577||full	0.8	0	0.8	dsDNAphage	5707	1	33.3	16.7
FJ_XM_contig_13692684	1	0.027	1	dsDNAphage	32812	1	40	0
FJ_XM_contig_13699883||full_1	nan	nan	nan	dsDNAphage	1771	1	100	0
FJ_XM_contig_13701651	0.86	0.193	0.86	dsDNAphage	5363	0	10	0
FJ_XM_contig_13706911||full	1	0.713	1	dsDNAphage	5274	3	85.7	0
FJ_XM_contig_13730479	0.687	0.327	0.687	dsDNAphage	5588	0	8.3	0
FJ_XM_contig_13739670||full	0.993	0.513	0.993	dsDNAphage	8701	1	57.1	0
FJ_XM_contig_13819073	1	0.913	1	dsDNAphage	7022	1	100	0
FJ_XM_contig_13823533||full	0.747	0	0.747	dsDNAphage	10181	1	37.5	25
FJ_XM_contig_13868504||full	0.82	0	0.82	dsDNAphage	13267	2	15.4	0
FJ_XM_contig_13881671	0.993	0.98	0.993	dsDNAphage	5086	2	71.4	0
FJ_XM_contig_13898685	1	0.867	1	dsDNAphage	5792	1	100	0
FJ_XM_contig_139404	0.993	0	0.993	dsDNAphage	16862	1	26.9	7.7
FJ_XM_contig_13953437	0.993	0.427	0.993	dsDNAphage	5887	1	33.3	0
FJ_XM_contig_1397977	0.98	0.773	0.98	dsDNAphage	5709	2	85.7	0
FJ_XM_contig_1398289	0.893	0.7	0.893	dsDNAphage	5262	0	40	0
FJ_XM_contig_14050443||full	0.993	0.58	0.993	dsDNAphage	5405	2	50	0
FJ_XM_contig_14071076||full	0.967	0.027	0.967	dsDNAphage	11835	7	55.6	38.9
FJ_XM_contig_14094404	0.76	0.753	0.76	dsDNAphage	5995	0	22.2	0
FJ_XM_contig_14151654	0.98	0.14	0.98	dsDNAphage	15218	2	30.4	0
FJ_XM_contig_1416450||full	1	0.567	1	dsDNAphage	12271	2	62.5	0
FJ_XM_contig_14189964	0.853	0.433	0.853	dsDNAphage	12433	0	10.3	0
FJ_XM_contig_14209831||full	1	0.267	1	dsDNAphage	7287	1	50	0
FJ_XM_contig_14290917	0.887	0.107	0.887	dsDNAphage	6242	0	50	0
FJ_XM_contig_14435257	0.993	0.48	0.993	dsDNAphage	9293	0	9.4	0
FJ_XM_contig_14470203	0.84	0.78	0.84	dsDNAphage	5621	0	50	0
FJ_XM_contig_14514891	0.987	0.793	0.987	dsDNAphage	5812	0	80	0
FJ_XM_contig_14522063||full	0.873	0.04	0.873	dsDNAphage	6285	1	40	0
FJ_XM_contig_14537592	1	0.093	1	dsDNAphage	58673	4	30.1	0
FJ_XM_contig_14550775	1	0.673	1	dsDNAphage	7322	3	72.7	0
FJ_XM_contig_14562405	0.973	0.927	0.973	dsDNAphage	17744	0	62.2	0
FJ_XM_contig_14607308	0.96	0.493	0.96	dsDNAphage	6507	0	36.4	0
FJ_XM_contig_14616298	0.993	0.273	0.993	dsDNAphage	7282	4	77.8	0
FJ_XM_contig_14622728	0.973	0.8	0.973	dsDNAphage	6682	0	66.7	0
FJ_XM_contig_14632604	0.953	0.96	0.96	ssDNA	5701	0	16.7	0
FJ_XM_contig_1466617	1	0.007	1	dsDNAphage	41730	1	38.3	0
FJ_XM_contig_14688894||full	0.88	0.087	0.88	dsDNAphage	5407	1	66.7	33.3
FJ_XM_contig_14714786	0.887	0.033	0.887	dsDNAphage	6624	0	38.5	7.7
FJ_XM_contig_14722401	1	0.28	1	dsDNAphage	11854	7	63.6	0
FJ_XM_contig_14752083	1	0.527	1	dsDNAphage	6368	2	85.7	0
FJ_XM_contig_1479339	0.98	0.093	0.98	dsDNAphage	14251	3	33.3	6.7
FJ_XM_contig_14798347||full	0.993	0.507	0.993	dsDNAphage	6645	1	57.1	0
FJ_XM_contig_14956777	1	0.68	1	dsDNAphage	6332	1	22.2	0
FJ_XM_contig_14983019||full_1	1	0.827	1	dsDNAphage	2966	2	100	0
FJ_XM_contig_15002399	1	0.82	1	dsDNAphage	5737	1	62.5	0
FJ_XM_contig_15002616	0.667	0.207	0.667	dsDNAphage	8872	0	66.7	0
FJ_XM_contig_15006397	0.9	0.96	0.96	ssDNA	9217	0	60	0
FJ_XM_contig_15007088	0.96	0.7	0.96	dsDNAphage	6353	0	75	0
FJ_XM_contig_1500960	0.893	0.093	0.893	dsDNAphage	25762	0	72.7	3
FJ_XM_contig_15010261||full	0.987	0.253	0.987	dsDNAphage	5745	1	33.3	0
FJ_XM_contig_15047803	1	0.093	1	dsDNAphage	18344	7	54.5	0
FJ_XM_contig_1511564||full	0.88	0.6	0.88	dsDNAphage	5314	0	27.3	0
FJ_XM_contig_15118793	1	0.267	1	dsDNAphage	20370	1	18	0
FJ_XM_contig_15165176||full	0.967	0.047	0.967	dsDNAphage	8455	3	33.3	11.1
FJ_XM_contig_15274105	0.927	0.34	0.927	dsDNAphage	6494	0	60	0
FJ_XM_contig_15294082||full	0.533	0.02	0.533	dsDNAphage	4999	0	60	20
FJ_XM_contig_15297773	0.947	0.16	0.947	dsDNAphage	10626	0	20	0
FJ_XM_contig_15340430	0.833	0.113	0.833	dsDNAphage	19506	0	54.5	0
FJ_XM_contig_15387703	0.88	0.2	0.88	dsDNAphage	7633	0	30	0
FJ_XM_contig_15395419	1	0.527	1	dsDNAphage	15444	5	45	0
FJ_XM_contig_15433209	0.993	0.513	0.993	dsDNAphage	7510	2	38.5	0
FJ_XM_contig_15505985	0.993	0.567	0.993	dsDNAphage	11599	3	64.7	0
FJ_XM_contig_15511190	1	0.24	1	dsDNAphage	13521	2	47.1	0
FJ_XM_contig_15572582	1	0.613	1	dsDNAphage	6259	0	46.2	0
FJ_XM_contig_15596413	0.947	0.64	0.947	dsDNAphage	6722	0	25	0
FJ_XM_contig_15645166	1	0.78	1	dsDNAphage	6306	2	50	0
FJ_XM_contig_15684896||full_1	0.987	0.047	0.987	dsDNAphage	6489	5	66.7	33.3
FJ_XM_contig_15701252	1	0.853	1	dsDNAphage	6461	2	100	0
FJ_XM_contig_15726759||full	1	0.16	1	dsDNAphage	5255	1	41.7	0
FJ_XM_contig_1577910	0.993	0.493	0.993	dsDNAphage	9126	4	57.1	0
FJ_XM_contig_15859653	0.987	0.187	0.987	dsDNAphage	5728	2	21.4	7.1
FJ_XM_contig_15877418	0.953	0.76	0.953	dsDNAphage	5770	0	16.7	0
FJ_XM_contig_15878784	0.947	0.04	0.947	dsDNAphage	11388	2	45.5	9.1
FJ_XM_contig_15881405	1	0.36	1	dsDNAphage	33951	7	52.6	0
FJ_XM_contig_15891473||full	1	0.92	1	dsDNAphage	5669	1	36.4	0
FJ_XM_contig_15906302||full	0.993	0.94	0.993	dsDNAphage	7121	1	25	0
FJ_XM_contig_15907965||full	1	0.593	1	dsDNAphage	4562	1	28.6	0
FJ_XM_contig_15918728||full	1	0.927	1	dsDNAphage	6302	3	50	0
FJ_XM_contig_15947413	0.987	0.88	0.987	dsDNAphage	7196	1	60	0
FJ_XM_contig_15954799	0.613	0.093	0.613	dsDNAphage	7052	0	77.8	11.1
FJ_XM_contig_15973980||full	0.653	0	0.653	dsDNAphage	7509	0	54.5	9.1
FJ_XM_contig_15988399	0.98	0.66	0.98	dsDNAphage	10553	0	50	0
FJ_XM_contig_15995490||0_partial	0.967	0.007	0.967	dsDNAphage	16053	1	20	0
FJ_XM_contig_16022923||full	0.947	0.76	0.947	dsDNAphage	5530	0	36.4	0
FJ_XM_contig_16112588	1	0.533	1	dsDNAphage	10899	2	100	0
FJ_XM_contig_16198555||full	0.767	0.007	0.767	dsDNAphage	8193	1	40	20
FJ_XM_contig_16248367	1	0.927	1	dsDNAphage	6693	4	100	0
FJ_XM_contig_16339317	0.993	0.453	0.993	dsDNAphage	11759	4	40	0
FJ_XM_contig_16355498	0.64	0	0.64	dsDNAphage	20729	0	56.5	4.3
FJ_XM_contig_16377486	1	0.667	1	dsDNAphage	13639	2	78.6	0
FJ_XM_contig_16415796	1	1	1	dsDNAphage	5307	2	100	0
FJ_XM_contig_16435593	0.767	0.14	0.767	dsDNAphage	5300	0	12.5	0
FJ_XM_contig_16437173	0.933	0.947	0.947	ssDNA	4523	0	40	0
FJ_XM_contig_16437661	1	0.42	1	dsDNAphage	9215	2	61.5	0
FJ_XM_contig_16474753	1	0.847	1	dsDNAphage	5214	4	100	0
FJ_XM_contig_16500211	0.987	0.56	0.987	dsDNAphage	7795	0	36.8	0
FJ_XM_contig_16540004||full	1	0.78	1	dsDNAphage	15450	5	50	0
FJ_XM_contig_16562272	0.973	0.287	0.973	dsDNAphage	4995	0	25	0
FJ_XM_contig_16564622	0.98	0.9	0.98	dsDNAphage	5835	5	71.4	0
FJ_XM_contig_16568453	0.88	0.353	0.88	dsDNAphage	5239	0	28.6	0
FJ_XM_contig_16589147	0.94	0.86	0.94	dsDNAphage	6848	0	72.7	0
FJ_XM_contig_1659166	0.82	0.08	0.82	dsDNAphage	8628	0	66.7	6.7
FJ_XM_contig_16614862||full	0.827	0.793	0.827	dsDNAphage	5813	0	50	0
FJ_XM_contig_16645588	0.907	0.653	0.907	dsDNAphage	6379	0	100	0
FJ_XM_contig_16654606	1	0.013	1	dsDNAphage	59957	4	39.4	0
FJ_XM_contig_16674654	0.96	0.6	0.96	dsDNAphage	6421	0	21.1	0
FJ_XM_contig_16681999	0.727	0.767	0.767	ssDNA	5116	0	100	0
FJ_XM_contig_16773722	0.967	0.853	0.967	dsDNAphage	6169	0	90.9	0
FJ_XM_contig_16803242	0.573	0.587	0.587	ssDNA	5858	0	66.7	0
FJ_XM_contig_16813959	0.987	0.367	0.987	dsDNAphage	5588	0	61.5	0
FJ_XM_contig_16828485	1	0.387	1	dsDNAphage	8624	2	60	0
FJ_XM_contig_1697942||full_1	0.68	0.427	0.68	dsDNAphage	3626	0	25	0
FJ_XM_contig_16992812	1	0.193	1	dsDNAphage	25535	9	68.4	0
FJ_XM_contig_17167333	0.587	0	0.587	dsDNAphage	5472	0	20	10
FJ_XM_contig_17189006	1	0.08	1	dsDNAphage	8198	1	55.6	11.1
FJ_XM_contig_17226005	0.947	0.6	0.947	dsDNAphage	9298	0	26.1	0
FJ_XM_contig_17234911	0.987	0.533	0.987	dsDNAphage	5638	1	26.7	0
FJ_XM_contig_17240470||full	1	0.84	1	dsDNAphage	5539	1	62.5	0
FJ_XM_contig_17254245	1	0.76	1	dsDNAphage	5643	1	100	0
FJ_XM_contig_17254940||full	0.953	0.687	0.953	dsDNAphage	5109	1	42.9	0
FJ_XM_contig_17280615	1	0.047	1	dsDNAphage	13637	1	52.9	0
FJ_XM_contig_17285746||full	0.88	0.5	0.88	dsDNAphage	10254	0	46.2	0
FJ_XM_contig_17289575	0.84	0.82	0.84	dsDNAphage	8856	0	62.5	0
FJ_XM_contig_17309069	0.813	0.187	0.813	dsDNAphage	5048	0	9.1	0
FJ_XM_contig_17321997||full	0.927	0.2	0.927	dsDNAphage	5825	1	33.3	0
FJ_XM_contig_17330871	0.987	0.147	0.987	dsDNAphage	8501	0	14.8	3.7
FJ_XM_contig_17332053	0.887	0.12	0.887	dsDNAphage	7814	0	29.4	5.9
FJ_XM_contig_17335381	0.993	0.107	0.993	dsDNAphage	14803	1	30.8	0
FJ_XM_contig_1737057	1	0.727	1	dsDNAphage	6057	4	100	0
FJ_XM_contig_174061||full	0.78	0.007	0.78	dsDNAphage	5685	1	20	0
FJ_XM_contig_17423730	0.84	0.427	0.84	dsDNAphage	7310	0	27.3	0
FJ_XM_contig_17480332||full	0.887	0.873	0.887	dsDNAphage	9904	0	52.4	0
FJ_XM_contig_17550113	0.78	0.58	0.78	dsDNAphage	5389	0	71.4	0
FJ_XM_contig_17581901	1	0.64	1	dsDNAphage	13415	2	94.1	0
FJ_XM_contig_17608134	1	0.74	1	dsDNAphage	6982	2	90	0
FJ_XM_contig_17676152	0.727	1	1	ssDNA	5545	0	100	0
FJ_XM_contig_17698775||full	0.587	0.24	0.587	dsDNAphage	3536	0	16.7	0
FJ_XM_contig_17741322||full	0.967	0.067	0.967	dsDNAphage	9603	0	18.8	0
FJ_XM_contig_17749599	0.993	0.413	0.993	dsDNAphage	7094	1	40	0
FJ_XM_contig_17763683	1	0.733	1	dsDNAphage	7258	7	61.5	0
FJ_XM_contig_17773023||full	0.9	0.14	0.9	dsDNAphage	5469	0	36.4	0
FJ_XM_contig_17880867	1	0.073	1	dsDNAphage	57159	3	35.8	0
FJ_XM_contig_17914722	1	0.127	1	dsDNAphage	95113	8	41	0.6
FJ_XM_contig_17941108||full	0.84	0.007	0.84	dsDNAphage	5003	1	42.9	14.3
FJ_XM_contig_17948661	1	0.62	1	dsDNAphage	13247	3	35.7	0
FJ_XM_contig_17966103	1	0.967	1	dsDNAphage	6070	3	100	0
FJ_XM_contig_18001890	0.94	0.893	0.94	dsDNAphage	6089	0	21.4	0
FJ_XM_contig_18013966	0.993	0.553	0.993	dsDNAphage	6957	0	38.5	0
FJ_XM_contig_18025613	1	0.4	1	dsDNAphage	6017	4	80	0
FJ_XM_contig_1809142	0.993	0.607	0.993	dsDNAphage	5712	0	12.5	0
FJ_XM_contig_18098385	0.98	0.52	0.98	dsDNAphage	5401	1	75	0
FJ_XM_contig_18188691	0.98	0.013	0.98	dsDNAphage	6876	3	55.6	33.3
FJ_XM_contig_18225866	1	0.727	1	dsDNAphage	8458	4	100	0
FJ_XM_contig_18226877||full	0.993	0.767	0.993	dsDNAphage	5890	3	75	0
FJ_XM_contig_18271075	1	0.467	1	dsDNAphage	8785	4	76.9	0
FJ_XM_contig_1832444||full	1	0.08	1	dsDNAphage	7852	2	33.3	0
FJ_XM_contig_18349072||full	0.8	0.813	0.813	ssDNA	5804	0	50	0
FJ_XM_contig_18403653||full	0.793	0	0.793	dsDNAphage	7577	1	42.9	28.6
FJ_XM_contig_18457723||full	0.96	0.747	0.96	dsDNAphage	5036	0	36.4	0
FJ_XM_contig_18460915_1	0.507	0.107	0.507	dsDNAphage	6791	0	27.3	18.2
FJ_XM_contig_18476160||full	0.913	0.033	0.913	dsDNAphage	22107	0	18.6	2.3
FJ_XM_contig_18601030||full	0.74	0	0.74	dsDNAphage	11257	1	27.3	9.1
FJ_XM_contig_18614971	0.993	0.74	0.993	dsDNAphage	5800	0	53.8	0
FJ_XM_contig_18616921||full	0.773	0.007	0.773	dsDNAphage	8676	1	25	0
FJ_XM_contig_18619704	0.987	0.093	0.987	dsDNAphage	12744	0	36.4	0
FJ_XM_contig_1865766	0.9	0.047	0.9	dsDNAphage	5795	0	25	8.3
FJ_XM_contig_18671205	1	0.94	1	dsDNAphage	5054	2	100	0
FJ_XM_contig_1869743	0.94	0.78	0.94	dsDNAphage	7502	0	63.6	0
FJ_XM_contig_18703969||full	0.973	0.027	0.973	dsDNAphage	8190	4	44.4	0
FJ_XM_contig_18714473	0.993	0.807	0.993	dsDNAphage	5901	1	38.5	0
FJ_XM_contig_18799597	0.68	0.407	0.68	dsDNAphage	5170	0	14.3	0
FJ_XM_contig_18813783	0.607	0.707	0.707	ssDNA	6321	0	42.9	0
FJ_XM_contig_18846041||full	0.853	0.007	0.853	dsDNAphage	5283	1	28.6	14.3
FJ_XM_contig_1889162	1	0.807	1	dsDNAphage	5977	2	55.6	0
FJ_XM_contig_18916494||full	0.993	0.053	0.993	dsDNAphage	5512	1	50	0
FJ_XM_contig_19034401	1	0.293	1	dsDNAphage	28658	4	84.2	0
FJ_XM_contig_19045204||0_partial	0.86	0	0.86	dsDNAphage	7560	1	18.2	9.1
FJ_XM_contig_19068240	1	0.72	1	dsDNAphage	17926	5	100	0
FJ_XM_contig_19094133	0.993	0.013	0.993	dsDNAphage	13515	2	78.9	5.3
FJ_XM_contig_191031	1	0.813	1	dsDNAphage	6445	2	100	0
FJ_XM_contig_19120456	0.993	0.007	0.993	dsDNAphage	12610	1	61.5	7.7
FJ_XM_contig_19153091	0.993	0.76	0.993	dsDNAphage	5021	1	83.3	0
FJ_XM_contig_19164470	0.873	0.4	0.873	dsDNAphage	5441	0	37.5	0
FJ_XM_contig_1916981	1	0.42	1	dsDNAphage	10538	6	66.7	0
FJ_XM_contig_19212998	0.987	0.387	0.987	dsDNAphage	5802	0	31.2	0
FJ_XM_contig_19316469	1	0.633	1	dsDNAphage	6787	2	46.2	0
FJ_XM_contig_19351875	1	0.607	1	dsDNAphage	7097	2	63.6	0
