	NH4...N..g.kg.	NO3...N..g.kg.	NO2...N..g.kg.	TN..g.kg.	TP..g.kg.	pH	SO42...g.kg.	Temperature..oC.	Salinity	Moisture....	TOC..g.kg.
Thermoplasmatota	0.791149625	0.697029278	0.499769986	0.270494237	0.264661889	0.393986306	0.294722497	0.059383891	0.242488983	0.37724856	0.251164885
Lentisphaerae	0.299358442	0.800787643	0.467700145	0.071613457	0.367603703	0.417710343	0.127524318	0.005088674	0.183708398	0.31420745	0.067452524
Kiritimatiellaeota	0.289509226	0.236068995	0.494446462	0.628290546	0.847247226	0.157404611	0.86620515	0.014019563	0.952773295	0.763328136	0.168581296
Candidatus Aminicenantes	0.88002134	0.105619047	0.024867807	0.106228991	0.147320817	0.000800153	0.504716237	0.434567988	0.063379341	0.257766607	0.105431101
Candidatus Eisenbacteria	0.105691997	0.806749273	0.196689426	0.213617923	0.053591397	0.516771557	0.092788861	6.32E-08	0.298097362	0.557171723	0.050916708
Unclassified Bacteria	0.139733344	0.987839701	0.213530691	0.106076453	0.223717528	0.074030786	0.102211727	0.143795448	0.188992967	0.182752031	0.048140677
Verrucomicrobia	0.732936838	0.700054065	0.697082469	0.201900976	0.201300584	0.202670138	0.562787387	0.995588003	0.393613024	0.350344788	0.64778283
Other Proteobacteria	0.901837325	0.371777981	0.591203648	0.362796003	0.878075882	0.06999155	0.788260197	0.397913586	0.508668641	0.88653852	0.981846432
Nitrospirae	0.203181735	0.651770628	0.225177887	0.034497337	0.036301757	0.043538807	0.596796431	0.75754752	0.666372857	0.513020257	0.406994716
Thermodesulfobacteria	0.371505926	0.090754202	0.08475293	0.000665191	0.018476291	0.545335595	0.842614815	0.028220944	0.08375603	0.490641957	0.180415819
Gemmatimonadetes	0.383660412	0.534678983	0.598120639	0.214112635	0.64177565	0.515192619	0.09263647	0.351718952	0.183026665	0.051248755	0.379300576
Betaproteobacteria	0.228457083	0.632315374	0.890446394	0.224373808	0.682175269	0.366341993	0.14851122	0.79340037	0.300875005	0.181482597	0.07211099
Firmicutes	0.957660838	0.13184425	0.119089183	0.066951976	0.198652434	0.02882776	0.15872905	0.438198356	0.930373032	0.02902489	0.594319733
Planctomycetes	0.741146995	0.956956855	0.959974478	0.375011926	0.513417619	0.104735152	0.465885061	0.061808454	0.560668489	0.621688863	0.635890074
Cyanobacteria	0.592874142	0.497301462	0.270265818	0.600154525	0.640687295	0.000277569	2.11E-05	0.137622453	0.012470384	0.000147795	0.448703483
Actinobacteria	0.143811238	0.595072443	0.63997196	0.332913304	0.631268949	0.272615919	0.9682066	0.832860454	0.209198206	0.041102099	0.899778127
Bacteroidetes	0.0159194	0.215479165	0.329030891	0.12173132	0.094170086	0.079452579	0.072200571	0.015151899	0.548470961	0.688287073	0.018938651
Acidobacteria	0.381173498	0.089078625	0.661063628	0.112866183	0.40435316	0.09342643	0.203592748	0.807503321	0.252622719	0.18484726	0.333825106
Alphaproteobacteria	0.510612416	0.774192035	0.63603971	0.245352489	0.79390397	0.135287924	0.910446307	0.028996199	0.863009512	0.95240316	0.95484425
Chloroflexi	0.186468405	0.087137091	0.807495821	0.385551453	0.860502212	0.644743106	0.774046863	0.499710528	0.372107104	0.067653471	0.926115412
Deltaproteobacteria	1.06E-06	0.204176164	0.027139448	0.551376952	8.03E-05	0.016778124	3.51E-08	0.171816056	3.55E-08	5.84E-05	0.008358149
Gammaproteobacteria	0.001717662	0.616222738	0.9480008	0.003877144	0.452875909	0.008694126	0.487227425	0.0700138	0.519126299	0.004099395	0.632357587
