	Candidatus Falkowbacteria	Chlamydiae	Fibrobacteres	Candidatus Latescibacteria	Candidatus Parcubacteria	Calditrichaeota	Tenericutes	Candidatus Kariarchaeota	Candidatus Bathyarchaeota	Spirochaetes	candidate division WWE3	Candidatus Rokubacteria	candidate division Zixibacteria	Candidatus Schekmanbacteria	Candidatus Dadabacteria	Candidatus Krumholzibacteriota	Candidatus Hydrogenedentes	Nitrospinae	Euryarchaeota	Ignavibacteriae	Deinococcus-Thermus	Thaumarchaeota	Rhodothermaeota	Thermoplasmatota	Lentisphaerae	Kiritimatiellaeota	Candidatus Aminicenantes	Candidatus Eisenbacteria	Unclassified Bacteria	Verrucomicrobia	Other Proteobacteria	Nitrospirae	Thermodesulfobacteria	Gemmatimonadetes	Proteobacteria-Betaproteobacteria	Firmicutes	Planctomycetes	Cyanobacteria	Actinobacteria	Bacteroidetes	Acidobacteria	Proteobacteria-Alphaproteobacteria	Chloroflexi	Proteobacteria-Deltaproteobacteria	Proteobacteria-Gammaproteobacteria	TOC (g/kg)
NB7_FDME210455358-1r	0	0	0	0	0	0	0	0.889733553	0	0	0	0	0.647949477	0.460065943	1.431097679	0	0	3.206775996	0	0	2.606310992	0.251046911	0	0	1.21423314	1.580452318	0	5.679153302	2.309138444	0.527732296	3.170505239	1.043128676	9.343025756	0.615839399	1.470486376	9.287110358	2.759601226	0	0.59028665	3.826872575	1.418123747	2.583230266	1.977791452	1.100307545	0.78445998	9
DY2_FDME210438600-1b	0	0	0	0	0	0.742258995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.724462911	0	0	0	0	0	0.010455696	6.682990858	0	0.097967075	0.022109637	0	0.556824536	0	0.28891292	1.457402442	0	0.204950336	1.468553333	1.016697087	0.602220165	1.236957735	0.524688218	1.908313447	9.38
ST10_L1	0	0	0	0	0	0	0	0	0	0	0	0.541931393	0	0	1.605131805	0.276989651	0.426472916	0	0	0.502637105	0	0	0	10.98488827	0	0	6.269141025	0	0	1.472278659	0	2.31928051	7.736242298	0.294835724	0.442786825	0	2.189096521	1.204658296	1.031063743	0.613782288	9.475779549	2.009125103	2.181777783	3.059442572	1.339107323	9.53 
BH15_FDSW220017135-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	1.556521376	0	0	50.82677789	0.594294747	0	0	0	0	7.839343066	0.728271954	0	2.921820943	0	0	0	13.98863392	3.58488146	1.017159822	0	6.700209324	4.321796152	0	5.091033816	0	6.244183442	2.730216852	1.939091823	1.989047128	2.783539396	2.205124279	1.098577906	9.73
DD13_FDSW220008400-2r	0	0	0	0	0	0.078415512	0	0	0	0	0	0	0	1.295623553	0	0.930261008	0	0	0	4.878652873	0	0	0	0	0.481628416	7.460394153	0	0	1.54916831	1.206668782	63.46823111	12.83718638	0	0.920880992	5.158054914	0	4.443330844	0	0.86498812	0.997285706	1.14094419	1.69920093	2.056185779	1.286179066	1.30075183	10.14
LYG1_FDME210455382-1r	0	0	0	0	0	0	0	0	0	0	0.996356413	0	0	1.24485898	0	4.193232151	4.63258411	0	0.444726512	0	0	0	0	19.07008004	0	549.427568	0	8.393833947	49.01994246	7.360071283	0	15.10189215	6.652190322	0.95930165	2.090685438	12.36262381	22.57846108	0	2.908450451	5.80510472	2.046290504	3.09106192	2.083333708	2.201723249	1.398223241	10.16
ST1_FDME220007465-1r	0	0	0	0	0	1.197890577	0	0	0	0	0	0	0	5.020558497	0	0.001584151	1.374852319	0	0	0.56289427	0.664040276	0.048571645	0	0	0	0	4.561679936	0	5.69568794	2.826985975	7.956923792	2.430948581	7.052557069	0.149297824	1.969668331	8.420085952	1.407883777	0.63377049	1.068845113	1.036128663	7.703438406	2.001218749	2.41868583	3.430185716	1.121485348	10.52 
BH2_FDSW220017122-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	1.074399894	0	0	40.65913197	0.518897113	0	0	0	0	9.709043036	1.224457584	0	5.441355346	0	0	0	6.104210276	3.903556622	0.682875975	0	6.185288491	7.302942713	0	3.781841322	0	5.654244691	46.50930204	2.048222181	2.112108624	6.863835861	1.819580638	1.216644569	10.83
DY13_FDME210438611-1b	0	0	0	0	0	0.905305222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.461565059	0	0	0	0	0	0.244396479	0	0	0.195014945	0	0	0.437752742	0	11.72499554	2.346846427	0	2.115731163	1.960115138	2.768823027	0.980406254	1.250314754	0.539074651	1.072186688	10.97
ZH13_FDSW220008796-2r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.751918024	0.81130057	0	0	0	0	0	0	1.88785673	0.566041115	5.544483954	13.2918523	0.997545777	0	0.837503632	1.499964895	0	11.48548732	0	0.889583112	1.111424899	0.706447532	1.466296951	1.569167801	1.699561423	2.044966565	11.32
ZH1_FDSW220008784-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.6768594	0	0	0	0.612559122	0.905937815	0	0	0	0	0	0	1.776518525	0.625623634	3.612041729	0	0.63274529	0	0.664954718	0.555350063	0	17.72358979	0	0.9031848	1.105502095	0.508699894	1.398832897	1.47668955	1.582885755	1.97870642	11.52
DD9_FDSW220008396-1r	0	0	0	0	0	0.391249227	0	0	0	0	0	0	0	1.011878811	0	0.774231657	0	0	0	3.787576664	0	0	0	0	0	5.178709234	0	0.032087421	1.154445638	1.023041644	16.15518614	12.07849542	0	0.901305225	2.257338618	0	5.906378612	0	0.791478216	0.888310118	1.140475028	1.464739619	1.601975169	1.292074835	1.361839187	11.8
DD1_FDSW220008388-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	0.851369293	0	0.406137	0	0	0	15.3410224	0	0	0	0	0	0	0	0.175346528	1.395071226	1.588275473	3.77224273	13.31770997	0	0.911481306	2.083488371	0	2.943335393	0	0.962724636	2.246273582	1.197187044	1.847140495	2.484584244	1.353984556	1.361834714	11.89
BH6_FDSW220017126-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	1.761872075	0	0	27.98409866	1.315451276	0	0	0	0	8.397402945	1.140899741	0	4.259556038	0	0	0	6.031058619	2.121992861	0.821648163	0	4.937416986	6.491126338	0	4.125494825	0	4.829149173	0	2.440971761	2.033114361	8.546448554	1.728148701	1.152370727	12.3
NB12_FDME210455363-1r	0	0	0	0	0	0	0.641419562	1.083347525	0	0	0	0	0.556200978	1.344782075	1.39905803	0	0	1.526955022	0	0	2.005048195	0.172536221	0	0	1.167079595	0.217066248	0	8.97517193	4.475773016	1.313907262	4.319215895	0.986704749	11.79262035	0.989318525	1.455410312	9.242180951	3.703177887	0	0.730766435	7.827006628	1.983414674	3.274789022	2.111803466	1.575846177	0.900468962	13
LYG5_FDME210455386-1r	0	0	0	0	0	0	0	0	0	0	1.774928606	0	0	1.15166579	0	4.509465981	0	0	0.677233532	0	0	0.0571216	0	4.800341046	0	68.62821226	8.392576766	15.90612988	53.61410851	0.366852853	1423.795833	18.39278371	6.469424801	0.747493677	1.93193459	8.09590865	8.280350189	0	2.288374072	3.787664383	1.955444558	1.877324468	4.088087587	2.417982791	1.255139808	13.19
ZH5_FDSW220008788-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579084524	0.825591658	0	0	0	0	0	0	1.795685605	0.498669921	5.2651009	0	0.741532882	0	0.724208862	0.599367577	0	20.70267662	0	0.907137996	1.020818969	0.637264668	1.38184441	1.441633391	1.658765892	1.941916153	13.21
YC15_FDME220007419-1r	0	0	0	0	0.240834025	0.205584005	1.192332508	0.663805389	0	0	0	0	1.56254406	1.554236568	0	1.414285224	1.176151943	1.702661891	0	1.026359231	4.452661946	0.081010085	0	0	1.355437249	0.698746477	0	0	25.40695164	1.760019807	2.872793464	0.864296586	30.76848056	1.041399509	1.587094336	7.936797076	3.395510929	2.299580982	0.364306872	1.907219956	1.967936468	2.307263709	2.652793695	1.879465997	0.800906179	13.81
SY1_FDME210455397-2a	0	0	0	0	0	0	0	0	0	0	0	0	0	15.42410884	0	0	0	0	0	0	0	0	0	1.255258356	0	0	0	0	0	4.682389302	0	0	0	18.22148229	0	6.835686971	0.383478624	14.88852299	0.066939061	0.588925207	0	1.646265399	2.145547185	0.963039288	1.225615407	13.94 
YC13_FDME220007417-1r	0	0	0	0	2.022825545	1.023650719	1.272049726	1.15157384	0	0	0	0	3.066210083	1.464908864	0	1.905805808	1.020690728	1.674908382	0	1.14457363	3.246021406	0.082554937	0	0	1.858827571	2.619949725	0	0	36.88255128	1.681904571	2.727024802	1.009867762	30.17189744	0.870822595	1.72771872	7.524337457	4.18119553	2.1320364	0.329685786	1.931145505	1.510518904	2.496476529	2.561319125	0.810834567	0.800888601	14.34
LYG15_FDME210455396-1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.450639697	0	0	0	0	0	0	0	0	0	0	0	0	3.213582285	0	0	1.076906415	0	0	0	0	7.758252767	70.94667923	49.23959595	3.06822582	2.858909389	1.451846699	14.87
NB15_FDME210455366-1r	0	0	0	0	0	0	0	0.905989623	0	0	0	0	0.953482849	0.490271447	1.654077338	0	0	1.778784016	0	0	1.409891514	0.189927146	0	0	2.816446635	0.604667659	0	18.11285738	7.230165064	1.633500597	3.358632238	1.287603422	16.30913203	0.763048808	1.226183748	10.26865893	4.67065427	0	0.878479192	11.34317926	1.606614112	3.510903069	2.00966989	1.754780997	0.857868856	15
YC1_FDME220007405-1r	0	0	0	0	0.059458715	1.611153024	1.230395599	1.361687859	0	0	0	0	1.919021084	0.398327297	0	2.223852507	1.207639674	1.440874183	0	1.406244013	1.941957483	0.062616333	0	0	1.466143637	1.360564507	0	0	18.53791339	1.896142383	2.329672866	0.890810057	28.97218942	0.943122893	1.852100309	6.972157038	4.876440005	2.035410606	0.376865846	1.573749351	1.600580235	2.269727925	2.723556451	0.803270706	0.762188066	15.11
ZH15_FDSW220008798-2r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33019974	0	0	0	0.524679335	0.995391152	0	0	0	0	0	0	1.811759988	0.458255359	5.268976624	10.03135285	0.847184362	0	0.589692555	1.115281954	0	9.114847975	0	0.831162996	0.8975759	0.648019188	1.43678969	1.612271807	1.582592944	1.696244241	15.23
ST7_FDME220007471-1r	0	0	0	0	0	0.83708434	0	0	0	0	0	0	0	8.046456181	0	0.116017975	2.271133417	0	0	0.141365278	0.86872936	0	0	0	0	0	0	0	0	0.480333228	0	2.227438933	7.5027173	0.033917519	4.669535523	0	9.437339612	0.993236011	0.463465355	0.838608327	5.636881606	1.521435394	2.074404078	2.036525008	3.630590825	15.23 
YC5_FDME220007409-1r	0	0	0	0	1.389514981	1.136308247	0.955533216	0.686802174	0	0	0	0	2.840811216	0.768814868	0	2.107329857	0.841984405	1.171104377	0	0.76524843	2.365404592	0.0492742	0	0	1.719777582	3.840489197	0	0	22.75733593	1.837164374	2.044816039	0.873797661	35.32124369	1.0410771	1.602193038	10.18312817	3.808241024	1.582481058	0.350821266	2.452276745	1.92310893	2.260350761	2.831676405	0.734181254	0.754837466	16.52
NB1_FDME210455352-1r	0	0	0	0	0	0	0	1.134003596	0	0	0.046162345	0	0.574031953	2.266392025	1.539253635	0	0	2.376733518	0	0	2.670607021	0.212273019	0	0	1.350184854	10.59067395	0	8.555340341	2.30211411	0.325755871	3.455425244	0.862492959	9.229651714	0.715771608	1.502512331	9.307266515	2.515546888	0	0.48565569	3.365911961	1.821012164	2.413563526	1.918886317	1.160163212	0.873232627	16.91
ST13_L1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.460984879	1.686862678	0.257995528	0.923592919	0	0	0	0.328128123	0	0	0	0	0	11.95929371	0	0	0.594829013	0	1.91094866	4.340976302	0.141067863	1.317747924	0	2.834437627	0.714869292	0.495553889	0.7027916	1.52755486	1.451115051	2.321058981	2.135801151	1.086971504	17.00 
BH10_FDSW220017130-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999784538	0	0	26.87626043	1.37469332	0	0	0	0	12.52549251	1.363630565	0	1.649464358	0	0	0	8.38749914	6.09280691	1.036100082	0	5.225995548	7.666187636	0	4.298200859	0	6.74368052	10.42454188	2.498621193	2.113392654	4.814646049	2.054893256	1.226572656	17.12
BH14_FDSW220017134-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	1.902158068	0	0	54.47171431	0.882241553	0	0	0	0	6.924218387	0.601454368	0	11.76303081	0	0	0	18.54592142	2.836282833	1.088551729	0	6.707038206	3.310288928	0	5.798589989	0	6.226947952	2.097781659	2.080454445	2.084868272	2.287686317	2.294787741	1.083701557	17.48
SY7_FDME210455403-2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.086634377	0	0	6.685819913	0	0	0	3.407033874	0	7.031793425	1.232589358	3.239760244	0.184385174	1.289855481	0	1.324168886	2.907273946	1.111982914	0.893725186	17.48 
LYG13_FDME210455394-1a	0	0	0	0	0	3.192853093	0	0	0	0	1.433431899	0	0	0.310180921	0	0	0	0	0.458376107	0	0	0.196046532	0	0	0	0	0	63.99518702	15.29229729	25.12515932	0	3.569153786	1.262594414	2.519282733	1.607034104	8.155358528	519.506311	0	4.217037222	2.504706569	2.628754359	6.803664345	2.525627276	2.71563025	1.303683963	17.51
CXD_1414_FDSW210423231-1r	0	0	0	10.81250324	0	0.322318121	0	0	0	0	0.598022113	0	0.469973356	1.261837058	0	3.465724049	0	0	0	0.763553083	1.480836344	0.106217476	0	5.32763617	0.430968245	6.245097461	6.638464726	0	18.21103351	1.721797288	11.18090786	1.169415279	5.245666523	2.556278651	9.263664143	0	2.222292974	0	0.990330969	3.337472345	1.382592087	1.949533417	2.054195705	1.878380682	1.146541679	17.9
CXD_1611_FDSW210423243-1r	0	0	0	2.180678144	0	0	0	0.066867474	0	0	1.301864472	0	0.440347676	0.446746981	0	4.587658523	1.816712557	0	0	0	1.437956316	0.123977472	0	0	0.065718504	3.830013569	4.880818486	0	2.668544074	0.561321278	3.20991164	1.559543218	3.482737256	1.541776756	11.41778881	0	2.812390179	0	0.750966901	2.526444046	1.531550356	1.565824474	2.308584199	1.842253625	1.044716998	18.2
CXD_1604_FDSW210423236-1r	0	0	0	1.370143666	0	0	0	0	0	0	0.871095956	0	0.991133787	1.61756087	0	1.872214633	0	0	0	0.022920774	1.044224108	0.078101841	0	0	0	64.72801857	0	0	1.339255368	0.497564089	14.04315252	1.944633724	5.225303702	1.050269555	65.52728778	0	3.129604087	0	0.44400001	1.872980956	1.581734432	1.145388954	1.674462618	1.541142053	0.742136946	18.6
ZH9_FDSW220008792-2r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847090048	0	0	0	0.921006716	0.914659157	0	0	0	0	0	0	1.809585909	0.418891648	5.835287088	8.354017287	0.80965641	0	0.652744545	1.228181319	0	4.603839572	0	0.762497953	1.039099901	0.597361418	1.473911066	1.840515769	1.733226551	1.757489825	18.79
CXD_1613_FDSW210423245-1r	0	0	0	1.007300935	0	3.428774396	0	0.232516933	0	0	0.761520431	0	0.280180575	0.899466533	0	0.276215403	1.207621483	0	0	0	0.927847611	0.13091204	0	0	0.062300592	4.795048724	3.557766475	0	4.76510657	0.724326941	4.264180203	1.256966351	3.633526289	1.774973861	11.02326581	0	2.85987571	0	0.914237974	2.547732109	1.526314418	1.834792266	2.272361316	1.749433326	1.05234254	18.9
CXD_1609_FDSW210423241-1r	0	0	0	0.211728268	0	0.773043326	0	0	0	0	0.751259096	0	0.931031586	1.840666767	0	2.280979217	0	0	0	0.07655849	1.357084951	0.013525624	0	0	0	8.838682052	5.053435787	0	6.992516805	0.592347687	25.87274385	1.808420603	4.902790694	0.953722418	7.898634282	0	1.156859933	0	0.55952031	0.981631583	1.347661999	1.629295425	1.686642768	1.824217158	1.04623489	19
CXD_1610_FDSW210423242-1r	0	0	0	0	0	0.994531134	0	0.236098501	0	0	1.240814432	0	0.025823587	1.34759595	0	0.875266833	0.613844255	0	0	0	1.100473652	0.152739713	0	0	0	4.076600403	4.837363976	0	4.184847402	0.767597619	3.817157633	1.331514184	3.460181554	1.430634496	8.736139882	0	3.173714303	0	0.978138111	2.640308503	1.723110496	1.651695991	2.534038854	1.805062369	0.991613585	19.1
CXD_1612_FDSW210423244-1r	0	0	0	0.435393018	0	3.398055996	0	1.597116341	0	0	0.46821931	0	0.369675615	0.740974409	0	1.301135727	4.188201179	0	0	0	1.103794283	0.153972924	0	0	0.082691955	6.63501578	3.374368054	0	3.372508288	0.516234346	2.948420023	1.228584505	3.958656491	1.428027939	12.17470645	0	2.024630651	0	0.746905088	2.333163364	1.680773066	1.526366811	2.338635125	1.78761629	0.974230113	19.3
SY11_FDME210455407-1r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.406353565	0.013719979	0	0	94.42321841	0	6.117996233	2.681486897	3.222030423	0.17355966	12.90957637	0	1.231106398	3.577579621	1.188769587	0.709501198	19.42 
YC9_FDME220007413-1r	0	0	0	0	0.269681767	1.164935624	1.290980001	0.776030865	0	0	0	0	2.233869155	0.425519009	0	2.479160296	0.672321757	1.496029497	0	1.110991589	4.085833411	0.135545006	0	0	1.314868033	1.436097654	0	0	27.23867857	1.510565	2.165289729	0.889927562	25.64350077	0.956793454	1.613409836	7.778987376	3.593279818	2.025840205	0.384384766	1.701807232	1.694470435	2.343013154	2.737099272	0.872395515	0.730965673	19.59
CXD_1412_FDSW210423229-1r	0	0	0	2.011362648	0	1.207092744	0	0	0	0	0.84912072	0	0.736979598	1.478015573	0	2.223465986	0	0	0	1.795619524	1.094437037	0.127765133	0	0	0.200752178	2.391530614	7.915701418	0	10.16712871	1.333260639	11.29736288	1.656515992	8.142135975	2.333472449	13.04511297	0	2.487272218	0	0.881590189	1.712927361	1.321734171	1.584573258	1.857517908	1.388014033	1.174055659	19.6
ST15_L1	0	0	0	0	0	1.29760135	0	0	0	0	0	0	0	0	2.025229914	0.325533667	0.979830637	0	0	0	1.612309209	0	0	0	0	0	7.281076704	0	0	0.467798399	0	1.860666339	4.431764499	0.118835102	1.534625624	0	1.691682759	0.804898166	0.424094897	0.682367114	1.469833331	1.492727077	2.232839593	2.424795649	1.11498721	19.71 
SY13_FDME210455409-2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.178456442	1.088298305	0	0	1.192011394	0	6.651541468	5.001635534	3.80298356	4.579219743	1.349524135	2238.353267	1.473540327	3.939603465	0.973812605	0.858186153	20.28 
XM2_FDME220007436-1r	0	0	0	0	0	0.863894998	0	0	0	0	0.423453366	0	0.282702316	0.949359124	0	0	1.520974836	0	0	0	0.466810289	0.019002719	0	6.419580793	0.571417441	2.777239356	0	0	0.957528225	2.586605559	61.60219683	4.257778685	2.717721383	1.322788206	2.60172311	6.640326588	17.18261282	0	0.838567464	1.297375713	4.873885388	1.945639985	2.036540262	3.059308944	1.252336879	20.40 
XM14_FDME220007448-1r	0	0	0	0	0	0.972633443	0	0	0	0	1.467199639	0	0	1.608205501	0	0.057029317	1.702933361	0	0	0	2.62725605	0	0	0.890620303	0	2.689690491	0	0	0.389380224	1.983881597	0	6.051969454	2.778943604	1.026652716	5.78185756	8.253125501	8.810174162	0	1.000678926	1.161711354	3.985341663	1.704448256	1.740642625	2.320292031	1.376329067	20.67 
XM10_FDME220007444-1r	0	0	0	0	0	0.639045529	0	0	0	0	1.232741964	0	0	1.036074691	0	0.034469806	0.541417072	0	0	0	0.700643775	0.040823695	0	0	0	1.955763033	0	0	0.400315763	2.157933335	16.94175571	4.012678173	4.183948578	0.84169054	14.62132354	8.373866856	4.320772125	0	0.544171207	1.003957017	3.377459903	1.434263891	1.840416488	2.697176998	1.482488981	21.56 
DD5_FDSW220008392-2r	0	0	0	0	0	5.573054834	0	0	0	0	0	0	0	1.191520287	0	0.691869372	0	0	0	27.65797965	0	0	0	0	0	0	0	0.670093473	1.666817563	1.705451715	5.950864052	14.70502245	0	0.813558315	9.46294186	0	5.031163252	0	0.884771949	2.095648374	1.392781706	2.240153125	1.322475102	1.793896188	1.415749969	23.7
LYG7_FDME210455388-1r	0	0	0	0	0	0.748484286	0	0	0	0	0.575781577	0	0	1.423065695	0	0.854117789	0.108050232	0	0.320365801	0.653430961	0	0	0	0	0.348592967	5.006197393	0	6.782532578	3.463710735	0.533958951	0	6.477731874	1.916495336	2.368172541	1.790958391	5.346330168	10.25501286	0	1.888949122	1.162586184	2.037683722	2.132505418	2.518750973	1.710792264	1.224662551	23.97
SY15_FDME210455411-2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.929546754	0	0	4.295981272	15.1247115	0	0	6.890869403	0	7.330806599	3.076733473	3.608471495	0.81105089	1.53936179	0	1.661497663	1.779366218	1.321532454	1.164211437	24.76 
XM15_FDME220007449-1r	0	0	0	0	0	1.036844805	0	0	0	0	2.558329412	0	0	1.295411634	0	0.000870187	0.855774423	0	0	0	0	0.032564499	0	6.368277739	0	2.742569314	0	0	0.773742662	2.102596825	94.22442072	6.223593928	4.229819889	0.861564414	3.671026716	8.084006723	8.462336885	0	1.463958498	1.752529755	4.940995619	2.158748365	2.047689552	3.059184988	1.311046743	25.65 
XM6_FDME220007440-1r	0	0	0	0	0	1.028592215	0	0	0	0	0.446344323	0	0	1.159578921	0	0.000437386	0.696547535	0	0	0	0	0	0	0	0.391261892	2.90235224	0	0	1.346487991	1.732869624	54.60422553	6.338473992	2.736982895	1.004733402	4.900663963	9.039474683	5.735995086	0	0.719502369	1.663963865	3.230778781	1.372892669	2.076076045	2.944317191	1.189933442	31.93 
